#Wave		#Intensity
4003.722656	19017.498047
4003.021484	18725.607422
4002.319336	18780.955078
4001.617188	18654.341797
4000.915039	18891.595703
4000.212891	18902.277344
3999.510742	18885.501953
3998.807617	18741.798828
3998.105469	18893.130859
3997.402344	18766.619141
3996.700195	19130.498047
3995.997070	18805.136719
3995.293945	18774.679688
3994.590820	18843.626953
3993.887695	18768.625000
3993.183594	18697.072266
3992.480469	18639.246094
3991.776367	18865.724609
3991.073242	18999.666016
3990.369141	18893.880859
3989.665039	18839.482422
3988.960938	18709.794922
3988.256836	18741.001953
3987.552734	18967.242188
3986.848633	18971.027344
3986.143555	18837.978516
3985.439453	19231.683594
3984.734375	18958.431641
3984.029297	18548.503906
3983.324219	18757.460938
3982.619141	18969.769531
3981.914063	18925.701172
3981.208984	19151.580078
3980.503906	18786.361328
3979.797852	19087.335938
3979.091797	18882.759766
3978.386719	18920.691406
3977.680664	19166.871094
3976.974609	18781.460938
3976.268555	19003.693359
3975.562500	18881.193359
3974.855469	18728.023438
3974.149414	18902.396484
3973.442383	18936.867188
3972.736328	18671.222656
3972.029297	18968.267578
3971.322266	18624.292969
3970.615234	18713.324219
3969.908203	18925.015625
3969.201172	18949.224609
3968.493164	19198.285156
3967.786133	19198.595703
3967.078125	18861.726563
3966.371094	18998.302734
3965.663086	19097.384766
3964.955078	19308.771484
3964.247070	19155.898438
3963.539063	18992.863281
3962.830078	19279.019531
3962.122070	19153.439453
3961.414063	19072.117188
3960.705078	19167.669922
3959.996094	18844.945313
3959.287109	19181.890625
3958.578125	19005.435547
3957.869141	18934.396484
3957.160156	19029.892578
3956.451172	19200.105469
3955.741211	19247.966797
3955.032227	19241.468750
3954.322266	18949.707031
3953.612305	19038.330078
3952.902344	19442.650391
3952.192383	19120.445313
3951.482422	19178.453125
3950.772461	19361.992188
3950.061523	19212.984375
3949.351563	19284.515625
3948.640625	18830.320313
3947.929688	19312.210938
3947.219727	19251.458984
3946.508789	19600.916016
3945.796875	19207.970703
3945.085938	19184.542969
3944.375000	19405.082031
3943.663086	19195.298828
3942.952148	19134.621094
3942.240234	19185.724609
3941.528320	19307.921875
3940.817383	19138.914063
3940.104492	19000.427734
3939.392578	19230.898438
3938.680664	19309.015625
3937.968750	19214.550781
3937.255859	19065.990234
3936.543945	19228.652344
3935.831055	19709.152344
3935.118164	19452.382813
3934.405273	19300.496094
3933.692383	19277.105469
